French,English
histoire,history
seulement,only
police,police
pensais,thought
aide,help
demande,request
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
dont,whose
premier,first
perdu,lost
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
minutes,minutes
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
dirait,would say
terre,Earth
compte,account
loin,far
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
